parentProtocolSlug,amountUsd,name,childSlugs
angle,2413343.7106661797,['Angle'],['angle']
quickswap,2209557.8496574676,"['Quickswap Dex', 'Quickswap V3', 'Quickswap V4']","['quickswap-dex', 'quickswap-v3', 'quickswap-v4']"
aera,2164831.92579783,['Aera V2'],['aera-v2']
qidao,2164446.18358822,['QiDao'],['qidao']
hemi,2159986.6789898598,['Hemi'],['hemi']
abracadabra,2109541.1334606702,"['Abracadabra Spell', 'MIM Swap']","['abracadabra-spell', 'mim-swap']"
kinza-finance,2091914.1491042508,['Kinza Finance'],['kinza-finance']
cetus,2081343.0719414703,['Cetus AMM'],['cetus-amm']
set-protocol,2076882.8889541598,['Set Protocol'],['set-protocol']
alphafi,2024422.6198970487,['AlphaFi Agg'],['alphafi-agg']
osmosis-dex,2019985.2887221002,['Osmosis DEX'],['osmosis-dex']
asymmetry,2017482.576548259,['Asymmetry USDaf'],['asymmetry-usdaf']
hydration-lending,1930467.413176063,['Hydration Lending'],['hydration-lending']
rollx,1930326.822729505,['RollX'],['rollx']
scroll-bridge,1904441.78113448,['Scroll Bridge'],['scroll-bridge']
adrena-protocol,1879786.6672176002,['Adrena Protocol'],['adrena-protocol']
swaap,1846627.2539623498,"['Swaap Maker V2', 'Swaap Maker V1']","['swaap-maker-v2', 'swaap-maker-v1']"
concrete,1809682.971045258,['Concrete'],['concrete']
revert,1777067.2051131015,"['Revert Lend', 'Revert Compoundor']","['revert-lend', 'revert-compoundor']"
core-bridge,1739632.84154409,['CORE Bridge'],['core-bridge']
carbon-defi,1712329.16762338,['Carbon Defi'],['carbon-defi']
sturdy,1666971.1340114956,['Sturdy V2'],['sturdy-v2']
dragon-swap-sei,1594545.3936129748,"['Dragon Swap V3 Sei', 'Dragon Swap V2 Sei']","['dragon-swap-v3-sei', 'dragon-swap-v2-sei']"
