,parentProtocolSlug,amountUsd,name,childSlugs
56,bunni,14989355.887657342,"['Bunni V2', 'Bunni V2']","['bunni-v2', 'bunni-v2']"
57,butter-network,1494875.3865364082,['Butter Network'],['butter-network']
58,byreal,1334184.8489491225,['Byreal'],['byreal']
59,camelot,11636420.826097988,['Camelot V3'],['camelot-v3']
60,cap,81942743.52181143,['cap'],['cap']
61,carbon-defi,1019403.3455573365,['Carbon Defi'],['carbon-defi']
62,carrot,21398447.07953768,"['Carrot Liquidity', 'Carrot Liquidity']","['carrot-liquidity', 'carrot-liquidity']"
63,cbridge,12926376.969446208,"['cBridge', 'cBridge']","['cbridge', 'cbridge']"
64,centrifuge,947233038.268346,['Centrifuge Protocol'],['centrifuge-protocol']
65,cetus,24284528.771875646,"['Cetus AMM', 'Cetus AMM']","['cetus-amm', 'cetus-amm']"
66,chain-fusion,4005792.823896044,"['Chain Fusion', 'Chain Fusion']","['chain-fusion', 'chain-fusion']"
67,chainflip,2246094.90092308,['Chainflip'],['chainflip']
68,chainge-finance,4368533.858375478,"['Chainge Finance', 'Chainge Finance']","['chainge-finance', 'chainge-finance']"
69,clearstar,7187944.519113129,['Clearstar'],['clearstar']
70,coinwind,129836226.83467437,"['Coinwind', 'Coinwind']","['coinwind', 'coinwind']"
71,colend-protocol,1897730.7312942059,['Colend Protocol'],['colend-protocol']
72,cometa,1673988.968481,['Cometa'],['cometa']
73,compound-blue,3825646.6508263703,['Compound Blue'],['compound-blue']
74,compound-finance,146692316.4479139,"['Compound V2', 'Compound V3', 'Compound V3', 'Compound V2']","['compound-v2', 'compound-v3', 'compound-v3', 'compound-v2']"
75,core-bridge,3834752.937055939,"['CORE Bridge', 'CORE Bridge']","['core-bridge', 'core-bridge']"
76,cronos-zkevm-bridge,2463749.122460459,['Cronos zkEVM Bridge'],['cronos-zkevm-bridge']
77,curve-finance,327225691.0876489,"['Curve DEX', 'Curve DEX', 'Curve DEX']","['curve-dex', 'curve-dex', 'curve-dex']"
78,d2-finance,6270056.174273958,['D2 Finance'],['d2-finance']
79,daoaas,10189446.370952075,['DAOaaS'],['daoaas']
80,deepbook,5835748.5563860815,['DeepBook V3'],['deepbook-v3']
81,defi-saver,1539067.405459958,['Defi Saver'],['defi-saver']
82,defituna,11685172.031360954,"['DefiTuna AMM', 'DefiTuna Lending']","['defituna-amm', 'defituna-lending']"
83,deri,1176326.545027783,['Deri V4'],['deri-v4']
84,derive,1409255.0589837502,['Derive V2'],['derive-v2']
85,desyn-protocol,3507655.518023688,['DeSyn Basis Trading'],['desyn-basis-trading']
86,dexalot,3277266.655895657,"['Dexalot DEX', 'Dexalot Portfolio']","['dexalot-dex', 'dexalot-portfolio']"
87,dinero,1060870.4360008608,['Hidden Hand'],['hidden-hand']
88,dodo,5521158.845206482,"['DODO AMM', 'DODO AMM']","['dodo-amm', 'dodo-amm']"
89,dolomite,5378531.905150536,['Dolomite'],['dolomite']
90,dooar,4906930.649416529,['DOOAR'],['dooar']
91,dragon-swap-sei,8023585.938279224,['Dragon Swap V3 Sei'],['dragon-swap-v3-sei']
92,dragonswap-kaia,1351368.2452189343,['DragonSwap V3 Kaia'],['dragonswap-v3-kaia']
93,drift,80682325.59955363,"['Drift Trade', 'Drift Trade']","['drift-trade', 'drift-trade']"
94,dydx,298177102.02039146,"['dYdX V3', 'dYdX V4']","['dydx-v3', 'dydx-v4']"
95,echelon-market,13326280.22282949,"['Echelon Market', 'Echelon Market']","['echelon-market', 'echelon-market']"
96,edgex,65509785.51473267,['edgeX Bridge'],['edgex-bridge']
97,ekubo,13971953.79378439,"['Ekubo', 'Ekubo']","['ekubo', 'ekubo']"
98,elfi-protocol,2366273.278155988,['ELFi Protocol'],['elfi-protocol']
99,enibridge,2657398.0013,['ENIBridge'],['enibridge']
100,enzyme-finance,8057529.724481989,"['Enzyme Finance', 'Enzyme Finance']","['enzyme-finance', 'enzyme-finance']"
101,estate-protocol,7110787.35312,['Estate Protocol'],['estate-protocol']
102,ethena,1229561958.7285619,"['Ethena USDe', 'Ethena tsUSDe']","['ethena-usde', 'ethena-tsusde']"
103,ether.fi,40439510.95142975,['ether.fi Liquid'],['ether.fi-liquid']
104,etherex,140368376.05166385,"['Etherex Legacy', 'Etherex CL', 'Etherex Legacy', 'Etherex CL']","['etherex-legacy', 'etherex-cl', 'etherex-legacy', 'etherex-cl']"
105,etherfi-cash,3282509.890299176,['EtherFi Borrowing Market'],['etherfi-borrowing-market']
106,euler,113434739.3924753,"['Euler V2', 'Euler V2']","['euler-v2', 'euler-v2']"
107,euler-dao,361895656.1094699,"['Euler DAO', 'Euler DAO']","['euler-dao', 'euler-dao']"
108,everdex,1017141.4882078703,['Everdex'],['everdex']
109,exponent,5548124.218475978,['Exponent'],['exponent']
110,extended,36810788.794712916,['Extended'],['extended']
111,extra-finance,37376549.60632168,"['Extra Finance Vaults', 'Extra Finance Leverage Farming']","['extra-finance-vaults', 'extra-finance-leverage-farming']"
112,ferro,7317009.326203734,"['Ferro', 'Ferro']","['ferro', 'ferro']"
113,figure-markets,130072343.07099682,"['Figure Markets Democratized Prime', 'Figure Markets Exchange', 'Figure Markets Exchange']","['figure-markets-democratized-prime', 'figure-markets-exchange', 'figure-markets-exchange']"
114,flamingo-finance,13927513.811724141,['Flamingo Finance'],['flamingo-finance']
115,flashtrade,6398838.819530843,['FlashTrade'],['flashtrade']
116,flowx-finance,4556930.652751462,"['FlowX V3', 'FlowX V3']","['flowx-v3', 'flowx-v3']"
117,fluid,160052970.37376451,"['Fluid Lending', 'Fluid Lending']","['fluid-lending', 'fluid-lending']"
118,flux-finance,1552895.764995,['Flux Finance'],['flux-finance']
119,folks-finance,48561157.258537,['Folks Finance Lending'],['folks-finance-lending']
120,football.fun,5026649.591635999,['Football.Fun'],['football.fun']
121,francium,10848000.0,['Francium'],['francium']
122,fstswap,26767024.499714512,['FstSwap'],['fstswap']
123,fuel-bridge,3225663.142232966,['Fuel Bridge'],['fuel-bridge']
124,fulcrom,11366688.353325687,"['Fulcrom Perps', 'Fulcrom Perps']","['fulcrom-perps', 'fulcrom-perps']"
125,fx-protocol,5228253.6932645105,['fx Protocol'],['fx-protocol']
126,gaib,44402325.48864618,"['GAIB', 'GAIB']","['gaib', 'gaib']"
127,gains-network,20145673.18068371,['Gains Network'],['gains-network']
128,gammaswap-protocol,5226828.519858477,"['DeltaSwap', 'GammaSwap']","['deltaswap', 'gammaswap']"
129,gauntlet,408466438.3694321,"['Gauntlet', 'Gauntlet']","['gauntlet', 'gauntlet']"
130,gearbox,8699152.01809593,['Gearbox'],['gearbox']
131,gemswap-by-golden-swan-solutions,2358807.9086623266,['GemSwap by Golden Swan Solutions'],['gemswap-by-golden-swan-solutions']
132,gmx,188484841.16196045,['GMX V2 Perps'],['gmx-v2-perps']
133,goblin,3484995.223371636,"['Goblin', 'Goblin']","['goblin', 'goblin']"
134,gold-dao,1187806.55982,['Gold DAO'],['gold-dao']
135,goose,9463783.69421691,['Goose'],['goose']
136,goplus-security,1607566.467659939,['GoPlus Locker V3'],['goplus-locker-v3']
137,gravity-bridge,4875446.619098043,['Gravity Bridge'],['gravity-bridge']
138,growihf,3129967.29887266,['GrowiHF'],['growihf']
139,grvt,8491070.775131,['GRVT'],['grvt']
140,haedal,2173801.9169645244,['Haedal Vault'],['haedal-vault']
141,hakutora,43046824.72428022,"['Hakutora', 'Hakutora']","['hakutora', 'hakutora']"
142,hanji-protocol,1634699.225470585,['Hanji Protocol'],['hanji-protocol']
143,harvest-finance,14684166.177200485,['Harvest Finance'],['harvest-finance']
144,hbarsuite,3047235.0,['HbarSuite'],['hbarsuite']
145,helix,26243703.178037,['Helix Perp'],['helix-perp']
146,homora-v2,2359523.511662906,"['Homora V2', 'Homora V2']","['homora-v2', 'homora-v2']"
147,honeypop-dex,1428378.3602924547,['Honeypop DEX'],['honeypop-dex']
148,hubble,1214681.829684007,['Hubble'],['hubble']
149,hydro,5296268.835812,['Hydro Lending'],['hydro-lending']
150,hyperion,38065077.91109721,"['Hyperion', 'Hyperion']","['hyperion', 'hyperion']"
151,hyperithm,154065668.2175004,"['Hyperithm', 'Hyperithm']","['hyperithm', 'hyperithm']"
152,hyperliquid,759388255.7158927,"['Hyperliquid Spot Orderbook', 'Hyperliquid HLP']","['hyperliquid-spot-orderbook', 'hyperliquid-hlp']"
153,hyperliquid-bridge,5412035777.786846,['Hyperliquid Bridge'],['hyperliquid-bridge']
154,hyperwave,32188548.360808674,['HyperWave'],['hyperwave']
155,icdex,1187102.327587,['ICDex'],['icdex']
156,ichi,5310848.3059898345,"['ICHI', 'ICHI']","['ichi', 'ichi']"
157,idle,45048977.5665331,['Idle'],['idle']
158,immutable-zkevm,2927110.8368784836,['Immutable zkEVM'],['immutable-zkevm']
159,infinifi,113278155.17275614,['infiniFi'],['infinifi']
160,init-capital,1242406.421656038,['INIT Capital'],['init-capital']
