,parentProtocolSlug,amountUsd,name,childSlugs
235,odyssey-finance,12314076.0,['Odyssey Finance'],['odyssey-finance']
236,omnibtc,1003573.3168956958,['OmniBTC'],['omnibtc']
237,omniyield,2434159.635551,['OmniYield'],['omniyield']
238,onre,25297018.618045863,['OnRe'],['onre']
239,openeden,3362554.9874007623,['OpenEden USDO'],['openeden-usdo']
240,optimism-bridge,259334498.79798487,"['Optimism Bridge', 'Optimism Bridge']","['optimism-bridge', 'optimism-bridge']"
241,orbit-bridge,3131785.20453219,['Orbit Bridge'],['orbit-bridge']
242,orca,116870680.00672036,"['Orca DEX', 'Orca DEX', 'Orca DEX', 'Orca DEX']","['orca-dex', 'orca-dex', 'orca-dex', 'orca-dex']"
243,orderly,39870349.78749881,"['Orderly Bridge', 'Orderly Bridge']","['orderly-bridge', 'orderly-bridge']"
244,origin-protocol,8351032.725912592,"['Origin Dollar', 'Origin Dollar']","['origin-dollar', 'origin-dollar']"
245,origyn,51300960.0,['ORIGYN'],['origyn']
246,osmosis-dex,5434938.345759213,['Osmosis DEX'],['osmosis-dex']
247,ostium,43401675.499111585,['Ostium'],['ostium']
248,ouroboros-capital,14008703.909366788,['Ouroboros Capital'],['ouroboros-capital']
249,overnight-finance,8974280.086645886,['Overnight Finance'],['overnight-finance']
250,overtime,1041919.7882878983,['Overtime'],['overtime']
251,pancakeswap,1865501880.7752438,"['PancakeSwap AMM', 'PancakeSwap Infinity', 'PancakeSwap AMM V3', 'PancakeSwap Infinity', 'PancakeSwap StableSwap', 'PancakeSwap AMM V3', 'PancakeSwap AMM']","['pancakeswap-amm', 'pancakeswap-infinity', 'pancakeswap-amm-v3', 'pancakeswap-infinity', 'pancakeswap-stableswap', 'pancakeswap-amm-v3', 'pancakeswap-amm']"
252,pando,42759153.793197,"['Pando Rings', 'Pando Leaf']","['pando-rings', 'pando-leaf']"
253,paradex,78869297.83669694,['Paradex Bridge'],['paradex-bridge']
254,parcl,6995161.204537466,['Parcl V3'],['parcl-v3']
255,pareto-credit,90777437.8669931,['Pareto Credit'],['pareto-credit']
256,parrot-protocol,4042944.315448415,['Parrot Protocol'],['parrot-protocol']
257,pay-protocol,3114001.2067370703,['Pay Protocol'],['pay-protocol']
258,peapods-finance,2728027.3955034176,['Peapods Finance'],['peapods-finance']
259,perena,14098098.682667714,"['Perena', 'Perena', 'Perena']","['perena', 'perena', 'perena']"
260,pharaoh-exchange,2654565.143447,['Pharaoh CL'],['pharaoh-cl']
261,phoenix,2847510.527806739,['Phoenix'],['phoenix']
262,phoenix-defi-hub,5254052.870994,['Phoenix DeFi Hub'],['phoenix-defi-hub']
263,pickle,2116422.335519329,['Pickle'],['pickle']
264,pinksale,60621958.32858861,['PinkSale'],['pinksale']
265,pnetwork,13099805.903342,['pNetwork'],['pnetwork']
266,polygon-bridge-&-staking,449125677.1122436,"['Polygon Bridge & Staking', 'Polygon Bridge & Staking']","['polygon-bridge-&-staking', 'polygon-bridge-&-staking']"
267,polygon-zkevm-bridge,38912350.50524551,"['Polygon zkEVM Bridge', 'Polygon zkEVM Bridge']","['polygon-zkevm-bridge', 'polygon-zkevm-bridge']"
268,polynomial-bridge,1977376.9220625106,['Polynomial Bridge'],['polynomial-bridge']
269,ponytaswap,1007101.2597728347,['PonytaSwap'],['ponytaswap']
270,pooltogether,6267149.550435386,"['PoolTogether V3', 'PoolTogether V5']","['pooltogether-v3', 'pooltogether-v5']"
271,pulsechain,24951229.558334,"['Pulsechain', 'Pulsechain']","['pulsechain', 'pulsechain']"
272,pulsechain-bridge,24949826.9530138,"['PulseChain Bridge', 'PulseChain Bridge']","['pulsechain-bridge', 'pulsechain-bridge']"
273,pulsex,13156850.54943484,"['PulseX V1', 'PulseX V1', 'PulseX V2']","['pulsex-v1', 'pulsex-v1', 'pulsex-v2']"
274,pump,15395228.496473951,"['PumpSwap', 'PumpSwap']","['pumpswap', 'pumpswap']"
275,quickswap,425273484.12349045,"['Quickswap V3', 'Quickswap V3', 'Quickswap Dex']","['quickswap-v3', 'quickswap-v3', 'quickswap-dex']"
276,railgun,17760013.439482898,"['Railgun', 'Railgun']","['railgun', 'railgun']"
277,raydium,1296097981.704199,"['Raydium AMM', 'Raydium AMM', 'Raydium AMM']","['raydium-amm', 'raydium-amm', 'raydium-amm']"
278,re7-labs,39435591.15832731,"['Re7 Labs', 'Re7 Labs']","['re7-labs', 're7-labs']"
279,realt,155888951.37040323,"['RealT RMM Marketplace V2', 'RealT Tokens']","['realt-rmm-marketplace-v2', 'realt-tokens']"
280,relend-network,75404190.24865088,['Relend Network'],['relend-network']
281,reserve-protocol,27654843.186627105,"['Reserve Protocol', 'Reserve Protocol']","['reserve-protocol', 'reserve-protocol']"
282,reservoir-protocol,30092784.22974209,['Reservoir Protocol'],['reservoir-protocol']
283,reservoir-tools,3109476.380708566,"['Reservoir Tools AMM', 'Reservoir Tools CLMM']","['reservoir-tools-amm', 'reservoir-tools-clmm']"
284,revert,4970731.730065526,['Revert Lend'],['revert-lend']
285,reya-bridge,5934181.606025037,['Reya Bridge'],['reya-bridge']
286,rhea-finance,3109341.367995238,"['Rhea Dex', 'Rhea Dex']","['rhea-dex', 'rhea-dex']"
287,ring-protocol,5257965.5683084335,"['Ring Few', 'Ring Few']","['ring-few', 'ring-few']"
288,royco-protocol,1355590.6465348927,['Royco Protocol'],['royco-protocol']
289,rsk-bridge,1889187.991084,['RSK Bridge'],['rsk-bridge']
290,rumpel-labs,55704157.65301,['Rumpel Labs'],['rumpel-labs']
291,saber,1656018.6888642646,['Saber'],['saber']
292,sailor,9614950.447981246,['Sailor'],['sailor']
293,sandclock,1083146.031052778,['SandClock'],['sandclock']
294,satori-finance,2192581.992918527,['Satori Perp'],['satori-perp']
295,saucerswap,8905401.487819575,"['SaucerSwap V1', 'SaucerSwap V2']","['saucerswap-v1', 'saucerswap-v2']"
296,save-protocol,13322030.853550576,"['Save', 'Save']","['save', 'save']"
297,scallop,14303592.556299113,"['Scallop Lend', 'Scallop Lend']","['scallop-lend', 'scallop-lend']"
298,scroll-bridge,28032099.695319213,"['Scroll Bridge', 'Scroll Bridge']","['scroll-bridge', 'scroll-bridge']"
299,seamless-protocol,69786092.92789173,['Seamless Vaults'],['seamless-vaults']
300,serum,9770272.584569218,['Serum'],['serum']
301,shade-protocol,1445921.6634624042,['stkd-SCRT'],['stkd-scrt']
302,shadow-exchange,6737901.973013973,"['Shadow Exchange Legacy', 'Shadow Exchange CLMM']","['shadow-exchange-legacy', 'shadow-exchange-clmm']"
303,sigma-money,3585179.065966727,['Sigma Money'],['sigma-money']
304,silo-finance,8597348.58450462,['Silo V2'],['silo-v2']
305,sky,2414908319.7400346,['Sky Lending'],['sky-lending']
306,sonic-gateway,2706171.4951139633,"['Sonic Gateway', 'Sonic Gateway']","['sonic-gateway', 'sonic-gateway']"
307,sonic-icp,3414330.901,['Sonic ICP'],['sonic-icp']
308,sophon-bridge,5803527.613534514,"['Sophon Bridge', 'Sophon Bridge']","['sophon-bridge', 'sophon-bridge']"
309,soroswap,7993526.271714502,['Soroswap'],['soroswap']
310,spacefi,1007910.0249772322,['SpaceFi zkSync'],['spacefi-zksync']
311,spark,117803400.2162661,"['SparkLend', 'Spark Liquidity Layer', 'SparkLend']","['sparklend', 'spark-liquidity-layer', 'sparklend']"
312,spectra,3639848.1284114965,['Spectra V2'],['spectra-v2']
313,sphere,10863214.871495206,"['Dyson', 'Sphere Finance']","['dyson', 'sphere-finance']"
314,sprinter,1159183.0131227244,['Sprinter'],['sprinter']
315,stabble,1097371.3333651815,['stabble'],['stabble']
316,stability,1470967.6131088429,['Stability'],['stability']
317,stablehodl,5361590.350053594,"['StableHodl', 'StableHodl']","['stablehodl', 'stablehodl']"
318,stargate-finance,141515486.90348083,"['Stargate V2', 'Stargate V2', 'Stargate V1']","['stargate-v2', 'stargate-v2', 'stargate-v1']"
319,starknet-bridge,67786061.07847081,"['Starknet Bridge', 'Starknet Bridge']","['starknet-bridge', 'starknet-bridge']"
320,steakhouse-financial,931723023.6767356,"['Steakhouse Financial', 'Steakhouse Financial', 'Steakhouse Financial']","['steakhouse-financial', 'steakhouse-financial', 'steakhouse-financial']"
